No.	画面ID	画面名	URL(ファイル名)	画面概要	主な表示項目	主な操作・機能	遷移元	遷移先	備考
1	TOP	トップページ	index.php	ブランドのトップページ。主要導線をまとめて表示	ヒーロースライダー(3枚)／カテゴリアイコン(6種)／NEW ARRIVAL／PICK UP／ランキング(カテゴリタブ)	スライダー自動送り・矢印・ドット切替／横スクロール／ランキングタブ切替	全ページ共通ヘッダー・フッター	カテゴリ一覧／商品詳細	-
2	CAT	カテゴリ一覧	category.php?cat={key}	カテゴリ別の商品一覧	商品カードグリッド(画像・商品名・価格・NEWバッジ)	カテゴリ絞り込み(URLパラメータ)	ヘッダーナビ／トップのカテゴリアイコン／フッター	商品詳細	該当商品0件の場合は専用メッセージを表示
3	PRD	商品詳細	product.php?id={id}	商品1点の詳細情報	メイン画像＋サムネイル3枚(物撮り/着用/反転)／商品名・価格・説明・素材／関連商品	サムネイルクリックでメイン画像切替／カートへ入れるボタン(見た目のみ)	カテゴリ一覧／各所の商品カード	関連商品(同カテゴリ)	不正なIDアクセス時はトップへリダイレクト
4	SRC	検索結果	search.php?q={keyword}	キーワード検索結果一覧	検索キーワード表示／該当商品グリッド／件数表示	ヘッダー検索フォームから遷移	ヘッダー検索フォーム	商品詳細	商品名・説明文の部分一致。未入力／該当なし時は専用メッセージ
5	CART	カート	cart.php	カート内商品の確認・数量変更	商品行(画像/名前/価格/数量/小計)／小計・送料・合計	数量の増減／削除／小計等の自動再計算(JS)	ヘッダーのカートアイコン	レジ(checkout.php)	中身は固定サンプルデータ。JS処理のみで再読み込みでリセット
6	CHK	レジ(購入手続き)	checkout.php	お届け先入力・支払い方法選択・注文内容の最終確認	住所等入力フォーム／支払い方法(カード・代引き・コンビニ)／注文サマリー	支払い方法「カード」選択時のみカード情報欄を表示／確定ボタンで注文完了へ遷移(JS、実送信なし)	カート	注文完了(order-complete.php)	カートが空の場合はcart.phpへリダイレクト
7	COMP	注文完了	order-complete.php	注文完了メッセージ・注文番号・購入内容の表示	注文番号(アクセスの都度自動生成)／購入商品一覧／合計金額	-	レジ	トップ／マイページ	実際の注文確定処理はなし
8	MY-LOGIN	マイページ(未ログイン)	mypage.php	ログイン入口	ログインフォーム(メール/パスワード)／新規登録案内	ログイン送信で(モック)マイページ(ログイン後)へ遷移	ヘッダーのマイページアイコン	マイページ(ログイン後)／新規会員登録	実認証なし
9	MY-REG	新規会員登録	register.php	新規会員登録フォーム	氏名・メール・パスワード・パスワード確認の入力欄	送信で(モック)マイページ(ログイン後)へ遷移	マイページ(未ログイン)	マイページ(ログイン後)	実登録処理はなし
10	MY-DASH	マイページ(ログイン後)	account.php	ログイン後の会員ダッシュボード	注文履歴(2件サンプル)／お届け先住所／会員情報	左ナビでのタブ切替(JS)／ログアウトリンク	ログイン／新規登録	お気に入り／ログアウトでmypage.phpへ	表示内容は固定サンプルデータ
11	FAV	お気に入り	favorites.php	お気に入り登録商品の一覧	商品カードグリッド／各カードの削除ボタン	削除ボタンでその場から非表示(JS)	ヘッダーのお気に入りアイコン／マイページ	商品詳細	固定サンプルデータ。空の場合は専用メッセージ
12	GUIDE	ご利用ガイド	guide.php	購入の流れ・支払い・配送・返品の案内	ご注文の流れ(4ステップ)／お支払い方法／配送について／返品・交換について	-	フッター	お問い合わせ	お支払い方法欄には#paymentアンカーあり
13	FAQ	よくあるご質問	faq.php	よくある質問と回答	Q&A 6件のアコーディオン	クリックで各項目を開閉(JS)	フッター	-	-
14	CONTACT	お問い合わせ	contact.php	お問い合わせフォーム	氏名・メール・種別・内容の入力欄	送信でサンクスメッセージ表示に切替(JS、実送信なし)	フッター／各ページの問い合わせ導線	-	-
15	COMPANY	会社情報	company.php	運営会社情報	会社名・所在地・代表者等(定義リスト形式)	-	フッター	-	内容は全て仮の値。公開前に要差し替え
16	PRIVACY	プライバシーポリシー	privacy-policy.php	個人情報の取り扱いに関する方針	全8項目の規約文	-	フッター	お問い合わせ	一般的なEC向け雛形文言。公開前に要確認
17	TERMS	ご利用規約	terms.php	サイト利用規約	第1条〜第9条	-	フッター	-	雛形文言。公開前に要確認
18	REFUND	返品ポリシー	refund-policy.php	返品・交換・返金に関する規定	条件／送料／返金方法／交換／不良品対応	-	フッター／ご利用ガイド	お問い合わせ	-
19	LEGAL	特定商取引法に基づく表記	legal-notice.php	特定商取引法に基づく必須表記	販売業者・価格・支払方法等(定義リスト形式)	-	フッター	-	内容は全て仮の値。公開前に要差し替え
